frequency,real,imag
11114228.456913827,0.667855508090487,-0.37113493465629666
11212424.849699399,0.6636821431510226,-0.372074307708414
11310621.24248497,0.6595159233846576,-0.37297674063957986
11408817.63527054,0.6553573501351957,-0.37384262468132956
11507014.028056111,0.6512069132685754,-0.3746723543074308
11605210.420841683,0.6470650912241961,-0.37546632698189575
11703406.813627254,0.6429323510720288,-0.3762249429118887
11801603.206412826,0.6388091485752796,-0.37694860480559333
11899799.599198395,0.634695928258379,-0.37763771763509557
11997995.991983967,0.6305931234800716,-0.37829268840432745
12096192.384769538,0.6265011565113837,-0.3789139259221154
12194388.77755511,0.6224204386182435,-0.37950184058036185
12292585.170340681,0.6183513701485445,-0.3800568441373919
12390781.563126251,0.6142943406234276,-0.38057934950647826
12488977.955911823,0.6102497288325781,-0.3810697705495618
