"Freq [GHz]","IWaveTheta [deg]","IWavePhi [deg]","dB(MonostaticRCSTheta) []"
10,90,216,15.6455109724542
10,90,217,14.991537303639
10,90,218,4.4703065965493
10,90,219,-5.2427872458969
10,90,220,7.84285111766672
10,90,221,12.602524258392
10,90,222,10.8683035722579
10,90,223,13.5575579294208
10,90,224,3.02353425823577
10,90,225,10.885650098435
10,90,226,4.77765657211466
10,90,227,-2.63159457659355
10,90,228,13.0585670206186
10,90,229,12.2164311717055
10,90,230,-1.51344672844653
10,90,231,8.72842933706437
10,90,232,-0.574535476672513
10,90,233,-21.1023229279605
10,90,234,11.2880983641325
10,90,235,5.21356549570262
10,90,236,13.2194610428279
10,90,237,0.646236304680221
10,90,238,0.544441055504257
10,90,239,3.71255800646114
10,90,240,8.94447433067598
10,90,241,4.08455931763743
10,90,242,11.3139034089923
10,90,243,12.3527849527288
10,90,244,2.4453358579767
10,90,245,8.72033364605543
10,90,246,5.29108689379607
10,90,247,0.476386331369444
10,90,248,-0.260435814758205
10,90,249,4.77812599634159
10,90,250,6.56356606177941
10,90,251,0.833137745718841
10,90,252,-3.00913569208669
10,90,253,-1.09316312922821
10,90,254,13.5585814557211
10,90,255,9.67008996557918
10,90,256,12.3946279858046
10,90,257,11.5350638060395
10,90,258,11.4403870023936
10,90,259,16.0604733501044
10,90,260,28.8518112214992
10,90,261,27.7117958355455
10,90,262,29.3626274324207
10,90,263,24.8248388523688
10,90,264,38.8460978467678
10,90,265,28.7218880700901
10,90,266,18.8694090710717
10,90,267,27.7698983229948
10,90,268,34.842645104763
10,90,269,36.2348210091162
10,90,270,55.7323485720097
10,90,271,42.3984185936364
10,90,272,36.3242287395724
10,90,273,37.2484729373275
10,90,274,32.3562847933084
10,90,275,29.5003610247453
10,90,276,30.2960902317548
10,90,277,32.5345611102359
10,90,278,30.3129636672941
10,90,279,30.2830085594364
10,90,280,20.205715994599
10,90,281,2.85749198313127
10,90,282,9.4187936081832
10,90,283,7.33821747539668
10,90,284,9.88957224115722
10,90,285,11.0512284089967
10,90,286,12.5137168380912
10,90,287,8.95546840447694
10,90,288,9.62828891021181
10,90,289,6.70860347453493
10,90,290,10.1148847173875
10,90,291,6.89087388927931
10,90,292,5.95428492582228
10,90,293,7.45961866906152
10,90,294,12.8293557449608
10,90,295,9.44588566975504
10,90,296,7.84913598203742
10,90,297,7.30669939488797
10,90,298,7.17140643859449
